,ZipCode,Address,BldgClass,LandUse,OwnerName,LotArea,BldgArea,ComArea,OfficeArea,RetailArea,GarageArea,StrgeArea,NumFloors,UnitsRes,UnitsTotal,YearBuilt,BuiltFAR,CommFAR,XCoord,YCoord
2,11101.0,1-50 51 AVENUE,W1,8.0,NYC DEPT OF EDUCATION,33454,136108,136108,0,0,0,0,5.0,0,1,2011,4.07,0.0,995477.0,209867.0
11,11101.0,1-55 BORDEN AVENUE,RM,4.0,,12100,228309,2893,0,2893,0,0,32.0,306,309,2013,18.87,0.0,995600.0,209799.0
12,11101.0,1-50 50 AVENUE,RM,4.0,,45763,522805,68791,0,13754,55037,0,37.0,619,621,2013,11.42,0.0,995607.0,210089.0
13,11101.0,2-02 54 AVENUE,E1,6.0,HDH LLC,329600,183797,183797,30210,0,0,0,3.0,0,2,1940,0.56,0.0,995672.0,208752.0
18,11101.0,5-35 54 AVENUE,E9,6.0,ANOROC REALTY INC,83712,84760,84760,11000,0,0,0,2.0,0,7,1962,1.01,2.0,996374.0,209093.0
20,11101.0,2-39 54 AVENUE,F2,6.0,DRAGON DEVELOPMENT LL,61268,59022,59022,8652,0,0,0,1.0,0,1,1962,0.96,2.0,995950.0,209180.0
21,11101.0,52-37 2 STREET,E1,6.0,52-35 SECOND LLC,26237,13500,13500,2350,0,4500,6650,1.0,0,2,1968,0.51,2.0,995674.0,209231.0
22,11101.0,201 BORDEN AVENUE,K2,5.0,A.R.M.REALTY CORP.,4800,9600,9600,0,9600,0,0,2.0,0,1,1969,2.0,2.0,995728.0,209746.0
23,11101.0,2-07 BORDEN AVENUE,E1,6.0,"DRD REALTY 1, LLC",8280,16260,16260,1140,0,0,11120,2.0,0,1,1931,1.96,2.0,995794.0,209781.0
24,11101.0,215 BORDEN AVENUE,F1,6.0,KAPLON-BELO ASSOCIATE,16300,17000,17000,1000,0,0,0,2.0,0,1,1969,1.04,2.0,995861.0,209756.0
25,11101.0,223 BORDEN AVENUE,O5,5.0,"GSG MANAGEMENT, LLC",6570,10624,8104,5166,0,0,0,2.0,0,1,1931,1.62,2.0,995951.0,209757.0
26,11101.0,2 2 STREET,F9,6.0,"GSG MANAGEMENT, LLC",3645,3645,3645,0,0,0,0,1.0,0,1,1931,1.0,2.0,995918.0,209796.0
27,11101.0,51-09 2 STREET,E9,6.0,"51-09 2ND ST., REALTY",6000,2550,2550,0,0,0,0,2.0,0,1,1931,0.43,2.0,995751.0,209833.0
28,11101.0,2-40 51 AVENUE,R4,3.0,,30400,60434,6029,0,0,4480,0,4.0,57,60,2007,1.99,2.0,996091.0,209732.0
29,11101.0,50-01 2 STREET,D8,3.0,50-01 2ND STREET ASSO,25109,172993,15803,0,0,0,0,12.0,199,202,2012,6.89,5.0,995916.0,210063.0
30,11101.0,50-02 5 STREET,O5,5.0,FIFTH STREET REAL EST,26030,50207,50207,37655,0,0,0,2.0,0,2,1971,1.93,2.0,996196.0,209937.0
31,11101.0,50-09 2 STREET,RM,4.0,"50-09 REALTY, LLC",28724,227257,11803,0,3600,8203,0,11.0,177,179,1909,7.91,5.0,995895.0,209964.0
32,11101.0,2-26 50 AVENUE,R4,3.0,,20128,94943,27329,0,0,27329,0,12.0,83,83,2010,4.72,5.0,996084.0,209967.0
33,11101.0,2-33 50 AVENUE,E9,6.0,FORTRESS NEW YORK HOL,76000,95750,95750,0,0,0,95750,2.0,0,1,1931,1.26,5.0,996137.0,210225.0
35,11101.0,2-01 50 AVENUE,D8,3.0,QUEENS WEST DEVELOPME,18500,395509,66000,0,6000,60000,0,32.0,372,503,2000,21.38,2.0,995795.0,210281.0
38,11109.0,4-74 48 AVENUE,D4,3.0,QUEENS WEST DEVELOPME,80634,724475,218970,0,23090,168980,0,42.0,522,536,1996,8.98,2.0,996137.0,210464.0
43,11101.0,4-75 48 AVENUE,D8,3.0,EMPIRE STATE DEVELOPM,718100,684862,5800,0,5800,0,0,39.0,578,580,2006,0.95,2.0,996258.0,210728.0
48,11109.0,46-08 CENTER BOULEVARD,D7,4.0,,22558,311266,4363,0,0,0,0,32.0,345,346,2011,13.8,2.0,996125.0,211812.0
