id,option_id,year,total_savings,energy_savings,maintenance_savings,customer_savings,demand_savings,cumulative_cash_flow,customer_cost,demand_cost,total_fixture_cost,total_replacement_cost,total_incentives,net_replacement_cost,total_fixture_cost_no_markup,total_cogs,total_labor_cost,total_recycling_cost,total_shipping_cost,total_misc_cost,total_tax_cost,existing_kwh,proposed_kwh,kwh_proposed_annual_savings,total_savings_per_lamp_life,original_cost_per_year,replacement_cost_per_year,total_savings_per_year,original_energy_cost_per_year,original_maintenance_cost_per_year,replacement_energy_cost_per_year,replacement_maintenance_cost_per_year,energy_savings_per_year,maintenance_savings_per_year,internal_return,payback,product_type,life_years,operating_schedule_id,rate_schedule_id,markup_type,watts_per_product,item_watt_hours_consumed,item_watts,energy_charge,use,active
157,1235,12,3214.5,3214.5,0,,0,38912.83538,,0,8207.584615384616,10987.58461538462,10435,552.5846153846196,5334.929999999999,8114.929999999999,2780,0,0,0,0,64175.94,22137.576,42038.364,64967.328,5134.075199999999,1771.0060799999999,3363.06912,5134.075199999999,0,1771.00608,0,3363.06912,0,609,0.16,Product,41.66666667,1031,676,2,12,86400,144,6.912,t,t
185,1292,3,46.51,42.92,0,,0,-33.53771429,,0,163.2714285714286,173.06771428571474,0,173.06771428571474,114.29,124.08628571428575,0,0,0,0,9.79628571428574,1559.28,1130.04,429.24,318.566192240203,168.9571062028243,122.4464421357547,46.5106640670696,155.928,0,113.004,0,42.92399999999999,0,19,3.72,ExistingLighting,2.739726027,1541,985,2,89,779640,89,77.964,t,t
185,1292,6,46.51,42.92,0,,0,105.9922857,,0,163.2714285714286,173.06771428571474,0,173.06771428571474,114.29,124.08628571428575,0,0,0,0,9.79628571428574,1559.28,1130.04,429.24,318.566192240203,168.9571062028243,122.4464421357547,46.5106640670696,155.928,0,113.004,0,42.92399999999999,0,19,3.72,ExistingLighting,2.739726027,1541,985,2,89,779640,89,77.964,t,t
204,360,1,2064.76,2342.57,8,,0,-11390.624,,0,13884,22240.032,8784.648,13455.38400000001,6942,15298.032,4806,0,0,1602,1948.0320000000002,439796.28,410514.12,29282.160000000033,32023.1171282485,33169.52155685825,31104.76526318544,2064.75629367286,35183.702399999944,2282.7384999999995,32841.1296,2274.461,2342.5728000000017,8.2775,8,6.61,ExistingLighting,7.692307692,486,324,1,32,5491200,1760,439.296,t,t
346,487,11,519.46,460.54,0,,0,-16078.16892,,0,3007.22891566265,21927.22891566265,135,21792.22891566265,2496,21416,18920,0,0,0,0,703192.892,699006.164,4186.728000000003,14069.9570112589,68832.29319737974,68312.83038452404,519.462812855679,58935.77092,0,58475.23084,0,460.540079999998,0,-20,,ExistingLighting,6.500541712,287,181,2,59,217828,59,23.96108,t,t
346,487,11,519.46,460.54,0,,0,-16078.16892,,0,3007.22891566265,21927.22891566265,135,21792.22891566265,2496,21416,18920,0,0,0,0,703192.892,699006.164,4186.728000000003,14069.9570112589,68832.29319737974,68312.83038452404,519.462812855679,58935.77092,0,58475.23084,0,460.540079999998,0,-20,,ExistingLighting,0.270855905,287,181,2,50,184600,50,20.306,t,t
413,1798,12,52.56,52.56,0,,0,35030.85525,,0,3971.099999999999,4259.004749999999,2595.0999999999995,1663.9047500000001,2647.400000000001,2935.3047500000002,0,0,0,0,287.9047499999999,79234.2,18483.6,60750.6,34894,7923.420000000004,1848.36,6075.06,7923.420000000004,0,1848.36,0,6075.06,0,365,0.27,ExistingLighting,11.41552511,2148,1385,1,0,0,0,0,t,t
351,1149,1,5782.69,5782.69,0,,0,-10295.15033,,0,16735.00699300699,24360.84032634035,8283,16077.840326340349,9263.699999999999,16889.53333333335,7626,0,0,0,0,621553.78,560683.38,60870.40000000002,80816.975,59047.60910000002,53264.9211,5782.688000000002,59047.609100000016,0,53264.9211,0,5782.688000000002,0,34,2.78,ExistingLighting,0.3125,1061,691,2,100,640000,200,60.8,t,t
2167,2202,6,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,912955.554,912955.554,0,0.000000000000146304448311131,109106.04432,109106.04432,0,73036.44431999998,36069.600000000006,73036.44432,36069.6,0,0,0,,ExistingLighting,4.662004662,2801,1914,,64,1976832,384,158.14656,t,t
2167,2202,9,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,912955.554,912955.554,0,0.000000000000146304448311131,109106.04432,109106.04432,0,73036.44431999998,36069.600000000006,73036.44432,36069.6,0,0,0,,ExistingLighting,4.662004662,2801,1914,,64,1976832,384,158.14656,t,t
