project_id,option_id,option_calculation_id,company_id,projects_name,facility_type_id,facility_type,industry_type_id,name,started_at,finished_at,tax_rate_source,finance_discount_rate,tax_exempt,active,area_count,area_count_sum,ave_annual_hours,max_kwh_cost,max_kwh_cost_simple,existing_lighting_count,total_watts_per_product,ave_lm70,total_solution_count,total_existing_quantity,total_proposed_quantity,total_replacement_count,total_fixture_watts,total_fixture_watt_hours,total_fixture_life_years,total_item_watts,sol_total_existing_count,total_product_count,energy_savings_per_year,total_savings_per_year,rebates,net_replacement_cost,payback,ROI,address,city,state,zip_code,latitude,longitude,existing_kwh,proposed_kwh,kwh_proposed_annual_savings
3,8.0,1235.0,5,Eagle Enterprises,,,2252.0,"Trantow, Langworth and Moore",2020-03-22 05:34:45.016,2020-03-22 05:34:47.182041,,5,False,True,2,42.0,4880.0,,,2,3276.0,13333.33333333333,2,56.0,56.0,56.0,0.0,0.0,0.0,0.0,4,4,0.0,0.0,18.0,2.1300000000000026,,0.0,,,,,,,20997.72,5475.0,15522.72
8,290.0,1398.0,7,Acme Warehouse,,,,Bartoletti and Sons,2020-03-22 01:28:04.846642,2020-03-22 01:28:08.084044,,5,False,True,1,1.0,1000.0,0.1,,1,100.0,1000.0,1,10.0,10.0,10.0,13.0,130000.0,50.0,130.0,1,1,87.0,353.66666666666674,,119.0,0.34,297.1988795518208,,,,,,,1000.0,130.0,870.0
11,92.0,1221.0,15,Golden Spoon_257,19.0,Fast Food Restaurants,,"Anderson, Shields and Hyatt",2020-03-22 05:43:31.817303,2020-03-22 05:43:33.92774,0.0,5,False,True,1,1.0,,,,1,1080.0,10000.0,1,86.0,86.0,43.0,600.0,0.0,0.0,12900.0,2,2,0.0,0.0,,13330.0,,0.0,1515 US-169,Smithville,MO,64089.0,39.41287,-94.5837,0.0,0.0,0.0
15,21.0,1782.0,19,Demo Project - updated and synced name - again,,,2336.0,"Blanda, Stiedemann and Kiehn",2021-04-28 21:40:38.078686,2021-04-28 21:40:43.529132,,5,False,True,5,936.0,3727.0,0.1,,5,662760.0,22538.461538461543,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,6,6.2172489379008806e-15,6.2172489379008806e-15,,0.0,,inf,,,,,,,25788.863999999998,25788.863999999998,0.0
15,928.0,1781.0,19,Demo Project - updated and synced name - again,,,2336.0,"Blanda, Stiedemann and Kiehn",2020-03-22 01:55:33.805258,2020-03-22 01:55:40.416535,,5,False,True,6,936.0,3727.0,0.1,,6,795312.0,22538.461538461543,6,138.0,118.0,80.0,83.0,2097888.0,180.2884615384616,1681.0,12,10,966.59424,1044.5942400000001,,8489.2094,,12.30496493583961,,,,,,,25788.863999999998,14701.728000000001,11087.136000000002
16,7.0,1262.0,7,Acme Grocery Store,2.0,Bakery,,Bartoletti and Sons,2020-03-22 01:28:08.640687,2020-03-22 01:28:10.536768,,5,False,True,1,8.0,2060.0,0.1,,1,760.0,1000.0,1,10.0,10.0,10.0,10.0,100000.0,25.0,100.0,1,1,176.0,326.0,,615.2,1.89,52.99089726918075,100 Broadway St,Boise,ID,83702.0,43.610302000000004,-116.1934,1900.0,140.0,1760.0
22,3.0,1242.0,25,Test 1,1.0,Auto Related,2214.0,Renner Inc,2020-03-22 05:34:38.049337,2020-03-22 05:34:40.111129,2.0,5,False,True,1,6.0,1000.0,0.1,,1,2380.0,1000.0,1,20.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,2000.0,1595.93625669164,,3740.0,,42.672092424910154,,,,,,,21900.0,1900.0,20000.0
23,5.0,1245.0,26,Eastern-Idaho Technical College,56.0,Schools (Technical/Vocational),2238.0,Toy LLC,2020-03-22 05:33:11.8524,2020-03-22 05:33:44.429927,2.0,5,False,True,5,1400.0,3847.142857142857,0.05,,5,410900.0,23600.0,5,70564.0,70564.0,3844.0,0.0,0.0,0.0,0.0,30,30,33378.165,33378.165,,216562.11424,,15.41274433764043,,,,,,,1217075.76,549512.46,667563.3
24,4.0,1229.0,7,Acme Bank Building,16.0,Entertainment,,Bartoletti and Sons,2020-03-22 05:35:07.54314,2020-03-22 05:35:15.089551,2.0,5,False,True,6,16.0,4280.0,0.12,,6,24612.0,10250.0,6,558.0,758.0,414.0,80.0,17282640.0,93.45794392523364,4038.0,52,49,13164.5952,13164.5952,,6528.9914,1.32,201.6329076494112,,,,,,,325408.4,215703.44,109704.96000000002
25,10.0,1230.0,27,Blue Max Trucking ,1.0,Auto Related,2254.0,"Goldner, Schaefer and Kshlerin",2020-03-22 05:34:52.993015,2020-03-22 05:34:54.251597,2.0,5,False,True,1,1.0,5100.0,0.10800000000000001,,1,458.0,10000.0,1,26.0,26.0,26.0,0.0,0.0,0.0,0.0,1,1,6558.9264,6558.9264,,13845.0,,47.373971830985916,,,,,,,60730.8,0.0,60730.8
29,11.0,1231.0,33,Amfor,25.0,Industrial - 1 Shift,2249.0,Parisian and Sons,2020-03-22 05:34:51.625164,2020-03-22 05:34:52.880267,2.0,5,False,True,1,1.0,8760.0,0.0645,,1,18.0,24000.0,1,18.0,18.0,18.0,0.0,0.0,0.0,0.0,1,1,183.06648,183.06648,,190.8,,95.94679245283018,Lagoon,Portland,OR,97217.0,45.507853999999995,-122.69079599999999,2838.24,0.0,2838.24
30,79.0,1232.0,30,Staubers Goal Crease,59.0,Sports Arena,2357.0,"Bauch, Morar and Lakin",2020-03-21 19:47:07.150133,2020-03-21 19:47:08.194365,2.0,5,False,True,1,1.0,3120.0,0.1,,1,435.0,10000.0,1,36.0,36.0,36.0,185.0,20779200.0,24.038461538461537,6660.0,1,1,2808.0,2808.0,,24351.16446,8.67,11.531276069415533,7401 Washington Ave. South,Edina,MN,55439.0,44.86810300000001,-93.39780400000001,48859.2,20779.2,28080.0
34,14.0,1241.0,7,Acme Carwash,10.0,Convenience Stores,,Bartoletti and Sons,2020-03-21 19:13:49.678933,2020-03-21 19:13:52.229659,2.0,5,False,True,2,9.0,8760.0,0.12,,2,3618.0,10333.33333333333,2,127.0,127.0,46.0,0.0,0.0,0.0,0.0,5,5,4234.2336,4234.2336,,556.5,,760.8685714285713,1234 Main,Boise,ID,83702.0,43.618342999999996,-116.2084,59200.08,23914.8,35285.28
37,17.0,1223.0,18,UFC,52.0,Retail,,Hudson LLC,2020-03-22 05:35:17.159629,2020-03-22 05:35:18.995581,2.0,5,False,True,1,2.0,4200.0,0.9,,1,160.0,24000.0,1,344.0,344.0,344.0,0.0,0.0,0.0,0.0,1,1,10853.3376,10853.3376,,5848.0,,185.59058823529406,,,,,,,115584.0,0.0,115584.0
39,16.0,1240.0,39,Project B-1,,,2239.0,Gerlach Inc,2020-03-19 07:54:28.220768,2020-03-19 07:54:29.641534,2.0,5,False,True,1,4.0,8760.0,0.12,,1,640.0,24000.0,1,3750.0,3750.0,1250.0,0.0,0.0,0.0,0.0,3,3,210240.0,215140.5776,,418750.0,,51.3768543522388,,,,,,,1752000.0,0.0,1752000.0
43,18.0,1237.0,40,Test,,,2239.0,Brakus Group,2020-03-22 05:34:41.390226,2020-03-22 05:34:42.745624,2.0,5,False,True,1,2.0,8760.0,,,1,84.0,20000.0,1,8.0,4.0,2.0,0.0,0.0,0.0,0.0,4,2,0.0,0.0,,148.4,,0.0,,,,,,,1471.68,0.0,1471.68
44,19.0,1239.0,7,Acme Retail,52.0,Retail,,Bartoletti and Sons,2020-03-22 01:28:12.701146,2020-03-22 01:28:15.262092,2.0,5,False,True,3,12.0,2040.0,0.1,,3,4716.0,4000.0,3,48.0,48.0,20.0,112.0,1060800.0,73.52941176470588,520.0,5,5,378.42,378.42,,1798.37865,,21.042287173504867,,,,,,,4845.0,1060.8,3784.2
47,20.0,1234.0,42,Carver County Building Courts,,,,Ankunding-Bogan,2020-03-22 05:34:47.264463,2020-03-22 05:34:48.402448,2.0,5,False,True,1,1.0,8760.0,0.08,,1,19.0,24000.0,1,50.0,50.0,50.0,0.0,0.0,0.0,0.0,50,50,665.76,665.76,,412.5,,161.39636363636362,,,,,,,8322.0,0.0,8322.0
49,22.0,1238.0,45,test ,,,2217.0,Smitham and Sons,2020-03-22 05:34:40.205181,2020-03-22 05:34:41.303118,2.0,5,False,True,1,1.0,8760.0,,,1,458.0,10000.0,1,20.0,20.0,20.0,185.0,32412000.0,8.561643835616437,3700.0,25,25,0.0,0.0,,5600.0,,0.0,,,,,,,80241.6,32412.0,47829.60000000001
54,29.0,1367.0,20,YMCA - Idaho Falls,17.0,Exercise Center,2336.0,"Raynor, Ritchie and Ondricka",2020-03-22 05:08:11.388958,2020-03-22 05:08:38.730174,2.0,5,False,True,15,1740.0,3799.5,0.053,,15,2100180.0,19866.666666666668,15,10254.0,22112.0,1019.0,944.5,76431762.0,588.2352941176467,15138.0,70,171,5317.955181000001,5317.955181000001,,12821.559999999998,2.41,41.476662597999024,155 N Corner St,Idaho Falls,ID,83402.0,43.488170000000004,-112.03451000000001,176770.539,76431.762,100338.777
60,733.0,297.0,7,Acme Bakery,,,,Bartoletti and Sons,2021-04-28 19:26:42.034685,2021-04-28 19:26:56.02,2.0,5,False,True,34,312000.0,3433.666666666666,0.12,,34,1387200000.0,15538.461538461535,34,2629.0,2851.0,934.0,1391.0,105286960.0,1115.4911841800294,16414.0,92,119,30198.6044,23813.62175099941,5000.0,125596.57856263738,8.07,18.96040642470456,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1329419.24,952065.42,377353.82
60,1048.0,525.0,7,Acme Bakery,,,,Bartoletti and Sons,2021-04-28 19:26:29.524008,2021-04-28 19:26:40.14734,2.0,5,False,True,7,312000.0,3433.666666666666,0.12,,7,285600000.0,15538.461538461535,7,10.0,20.0,43.0,47.0,2432220.0,19.245404519377125,519.5,8,10,10398.0408,7939.680022092834,100.0,3708.89,0.47,214.0715961404311,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1534480.24,1417257.34,117222.8999999999
60,1346.0,594.0,7,Acme Bakery,,,,Bartoletti and Sons,2021-04-28 19:26:20.26921,2021-04-28 19:26:30.693562,2.0,5,False,True,7,312000.0,3433.666666666666,0.12,,7,285600000.0,15538.461538461535,7,79.0,89.0,66.0,147.0,6812220.0,30.660929633532376,1019.5,8,10,30027.00460000002,20866.026124564,,39582.49227692303,,52.715291342907896,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1534480.24,1137511.62,396968.61999999994
60,1687.0,608.0,7,Acme Bakery,,,,Bartoletti and Sons,2021-04-28 19:26:20.161421,2021-04-28 19:26:30.72613,2.0,5,False,True,22,312000.0,3433.666666666666,0.12,,22,897600000.0,15538.461538461535,22,3586.0,4902.0,831.0,611.0,59444360.0,548.8145416227609,8557.0,65,86,40358.81640000002,29732.606579088944,,48675.37761025644,2.61,61.08346362951267,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1534060.24,1016280.7,517779.54
