,project_id,option_id,option_calculation_id,company_id,projects_name,facility_type_id,facility_type,facility_type_lcm,industry_type_id,name,started_at,finished_at,tax_rate_source,finance_discount_rate,tax_exempt,active,area_count,area_count_sum,ave_annual_hours,max_kwh_cost,max_kwh_cost_simple,existing_lighting_count,total_watts_per_product,ave_lm70,total_solution_count,total_existing_quantity,total_proposed_quantity,total_replacement_count,total_fixture_watts,total_fixture_watt_hours,total_fixture_life_years,total_item_watts,sol_total_existing_count,total_product_count,energy_savings_per_year,total_savings_per_year,rebates,net_replacement_cost,payback,ROI,address,city,state,zip_code,latitude,longitude,existing_kwh,proposed_kwh,kwh_proposed_annual_savings,sqft
0,3,8,1235,5,Eagle Enterprises,,,,2252,"Trantow, Langworth and Moore",34:45.0,34:47.2,,5,FALSE,TRUE,2,42,4880,,,2,3276,13333.33333,2,56,56,56,0,0,0,0,4,4,0,0,18,2.13,,0,,,,,,,20997.72,5475,15522.72,
1,8,290,1398,7,Acme Warehouse,,,,,Bartoletti and Sons,28:04.8,28:08.1,,5,FALSE,TRUE,1,1,1000,0.1,,1,100,1000,1,10,10,10,13,130000,50,130,1,1,87,353.6666667,,119,0.34,297.1988796,,,,,,,1000,130,870,
2,11,92,1221,15,Golden Spoon_257,19,Fast Food Restaurants,Food Service,,"Anderson, Shields and Hyatt",43:31.8,43:33.9,0,5,FALSE,TRUE,1,1,,,,1,1080,10000,1,86,86,43,600,0,0,12900,2,2,0,0,,13330,,0,1515 US-169,Smithville,MO,64089,39.41287,-94.5837,0,0,0,
3,15,21,1782,19,Demo Project - updated and synced name - again,,,,2336,"Blanda, Stiedemann and Kiehn",40:38.1,40:43.5,,5,FALSE,TRUE,5,936,3727,0.1,,5,662760,22538.46154,5,0,0,1,0,0,0,0,6,6,6.22E-15,6.22E-15,,0,,inf,,,,,,,25788.864,25788.864,0,
4,15,928,1781,19,Demo Project - updated and synced name - again,,,,2336,"Blanda, Stiedemann and Kiehn",55:33.8,55:40.4,,5,FALSE,TRUE,6,936,3727,0.1,,6,795312,22538.46154,6,138,118,80,83,2097888,180.2884615,1681,12,10,966.59424,1044.59424,,8489.2094,,12.30496494,,,,,,,25788.864,14701.728,11087.136,
5,16,7,1262,7,Acme Grocery Store,2,Bakery,Food Sales,,Bartoletti and Sons,28:08.6,28:10.5,,5,FALSE,TRUE,1,8,2060,0.1,,1,760,1000,1,10,10,10,10,100000,25,100,1,1,176,326,,615.2,1.89,52.99089727,100 Broadway St,Boise,ID,83702,43.610302,-116.1934,1900,140,1760,
6,22,3,1242,25,Test 1,1,Auto Related,Services,2214,Renner Inc,34:38.0,34:40.1,2,5,FALSE,TRUE,1,6,1000,0.1,,1,2380,1000,1,20,20,20,0,0,0,0,1,1,2000,1595.936257,,3740,,42.67209242,,,,,,,21900,1900,20000,200
7,22,3,1242,25,Test 1,1,Auto Related,Services,2214,Renner Inc,34:38.0,34:40.1,2,5,FALSE,TRUE,1,6,1000,0.1,,1,2380,1000,1,20,20,20,0,0,0,0,1,1,2000,1595.936257,,3740,,42.67209242,,,,,,,21900,1900,20000,768
8,23,5,1245,26,Eastern-Idaho Technical College,56,Schools (Technical/Vocational),Education,2238,Toy LLC,33:11.9,33:44.4,2,5,FALSE,TRUE,5,1400,3847.142857,0.05,,5,410900,23600,5,70564,70564,3844,0,0,0,0,30,30,33378.165,33378.165,,216562.1142,,15.41274434,,,,,,,1217075.76,549512.46,667563.3,
9,24,4,1229,7,Acme Bank Building,16,Entertainment,Public assembly,,Bartoletti and Sons,35:07.5,35:15.1,2,5,FALSE,TRUE,6,16,4280,0.12,,6,24612,10250,6,558,758,414,80,17282640,93.45794393,4038,52,49,13164.5952,13164.5952,,6528.9914,1.32,201.6329076,,,,,,,325408.4,215703.44,109704.96,150
10,25,10,1230,27,Blue Max Trucking,1,Auto Related,Services,2254,"Goldner, Schaefer and Kshlerin",34:53.0,34:54.3,2,5,FALSE,TRUE,1,1,5100,0.108,,1,458,10000,1,26,26,26,0,0,0,0,1,1,6558.9264,6558.9264,,13845,,47.37397183,,,,,,,60730.8,0,60730.8,
11,29,11,1231,33,Amfor,25,Industrial - 1 Shift,Other,2249,Parisian and Sons,34:51.6,34:52.9,2,5,FALSE,TRUE,1,1,8760,0.0645,,1,18,24000,1,18,18,18,0,0,0,0,1,1,183.06648,183.06648,,190.8,,95.94679245,Lagoon,Portland,OR,97217,45.507854,-122.690796,2838.24,0,2838.24,20000
12,30,79,1232,30,Staubers Goal Crease,59,Sports Arena,Public assembly,2357,"Bauch, Morar and Lakin",47:07.1,47:08.2,2,5,FALSE,TRUE,1,1,3120,0.1,,1,435,10000,1,36,36,36,185,20779200,24.03846154,6660,1,1,2808,2808,,24351.16446,8.67,11.53127607,7401 Washington Ave. South,Edina,MN,55439,44.868103,-93.397804,48859.2,20779.2,28080,
13,34,14,1241,7,Acme Carwash,10,Convenience Stores,Food Sales,,Bartoletti and Sons,13:49.7,13:52.2,2,5,FALSE,TRUE,2,9,8760,0.12,,2,3618,10333.33333,2,127,127,46,0,0,0,0,5,5,4234.2336,4234.2336,,556.5,,760.8685714,1234 Main,Boise,ID,83702,43.618343,-116.2084,59200.08,23914.8,35285.28,100
14,34,14,1241,7,Acme Carwash,10,Convenience Stores,Food Sales,,Bartoletti and Sons,13:49.7,13:52.2,2,5,FALSE,TRUE,2,9,8760,0.12,,2,3618,10333.33333,2,127,127,46,0,0,0,0,5,5,4234.2336,4234.2336,,556.5,,760.8685714,1234 Main,Boise,ID,83702,43.618343,-116.2084,59200.08,23914.8,35285.28,500
15,37,17,1223,18,UFC,52,Retail,Retail - Mall & Non-Mall,,Hudson LLC,35:17.2,35:19.0,2,5,FALSE,TRUE,1,2,4200,0.9,,1,160,24000,1,344,344,344,0,0,0,0,1,1,10853.3376,10853.3376,,5848,,185.5905882,,,,,,,115584,0,115584,18000
16,39,16,1240,39,Project B-1,,,,2239,Gerlach Inc,54:28.2,54:29.6,2,5,FALSE,TRUE,1,4,8760,0.12,,1,640,24000,1,3750,3750,1250,0,0,0,0,3,3,210240,215140.5776,,418750,,51.37685435,,,,,,,1752000,0,1752000,10000
