,Unnamed: 0,project_id,option_id,option_calculation_id,company_id,projects_name,facility_type_id,facility_type,facility_type_lcm,facility_type_lcm_new,industry_type_id,name,started_at,finished_at,tax_rate_source,finance_discount_rate,tax_exempt,active,area_count,area_count_sum,ave_annual_hours,max_kwh_cost,max_kwh_cost_simple,existing_lighting_count,total_watts_per_product,ave_lm70,total_solution_count,total_existing_quantity,total_proposed_quantity,total_replacement_count,total_fixture_watts,total_fixture_watt_hours,total_fixture_life_years,total_item_watts,sol_total_existing_count,total_product_count,energy_savings_per_year,total_savings_per_year,rebates,net_replacement_cost,payback,ROI,address,city,state,zip_code,latitude,longitude,existing_kwh,proposed_kwh,kwh_proposed_annual_savings,sqft,sqft_new,max_kwh_cost_simple_new,LIGHTING_INTENSITY
0,0,3,8,1235,5,Eagle Enterprises,,,,Food Service,2252.0,"Trantow, Langworth and Moore",34:45.0,34:47.2,,5,False,True,2,42,4880.0,,,2,3276.0,13333.33333,2,56,56,56.0,0.0,0.0,0.0,0.0,4,4,0.0,0.0,18.0,2.13,,0.0,,,,,,,20997.72,5475.0,15522.72,,10000.0,0.085,2.099772
1,1,8,290,1398,7,Acme Warehouse,,,,Food Sales,,Bartoletti and Sons,28:04.8,28:08.1,,5,False,True,1,1,1000.0,0.1,,1,100.0,1000.0,1,10,10,10.0,13.0,130000.0,50.0,130.0,1,1,87.0,353.6666667,,119.0,0.34,297.1988796,,,,,,,1000.0,130.0,870.0,,450.0,0.085,2.222222222
2,2,11,92,1221,15,Golden Spoon_257,19.0,Fast Food Restaurants,Food Service,Services,,"Anderson, Shields and Hyatt",43:31.8,43:33.9,0.0,5,False,True,1,1,,,,1,1080.0,10000.0,1,86,86,43.0,600.0,0.0,0.0,12900.0,2,2,0.0,0.0,,13330.0,,0.0,1515 US-169,Smithville,MO,64089.0,39.41287,-94.5837,0.0,0.0,0.0,,10000.0,0.085,0.0
3,3,15,21,1782,19,Demo Project - updated and synced name - again,,,,Services,2336.0,"Blanda, Stiedemann and Kiehn",40:38.1,40:43.5,,5,False,True,5,936,3727.0,0.1,,5,662760.0,22538.46154,5,0,0,1.0,0.0,0.0,0.0,0.0,6,6,6.22e-15,6.22e-15,,0.0,,inf,,,,,,,25788.863999999998,25788.863999999998,0.0,,400.0,0.07,64.47216
4,4,15,928,1781,19,Demo Project - updated and synced name - again,,,,Education,2336.0,"Blanda, Stiedemann and Kiehn",55:33.8,55:40.4,,5,False,True,6,936,3727.0,0.1,,6,795312.0,22538.46154,6,138,118,80.0,83.0,2097888.0,180.2884615,1681.0,12,10,966.59424,1044.5942400000001,,8489.2094,,12.30496494,,,,,,,25788.863999999998,14701.728000000001,11087.136,,4000.0,0.069,6.447216
5,5,16,7,1262,7,Acme Grocery Store,2.0,Bakery,Food Sales,Public assembly,,Bartoletti and Sons,28:08.6,28:10.5,,5,False,True,1,8,2060.0,0.1,,1,760.0,1000.0,1,10,10,10.0,10.0,100000.0,25.0,100.0,1,1,176.0,326.0,,615.2,1.89,52.99089727,100 Broadway St,Boise,ID,83702.0,43.610302000000004,-116.1934,1900.0,140.0,1760.0,,2200.0,0.085,0.8636363640000001
6,6,22,3,1242,25,Test 1,1.0,Auto Related,Services,Services,2214.0,Renner Inc,34:38.0,34:40.1,2.0,5,False,True,1,6,1000.0,0.1,,1,2380.0,1000.0,1,20,20,20.0,0.0,0.0,0.0,0.0,1,1,2000.0,1595.936257,,3740.0,,42.67209242,,,,,,,21900.0,1900.0,20000.0,200.0,200.0,0.0649,109.5
7,7,22,3,1242,25,Test 1,1.0,Auto Related,Services,Other,2214.0,Renner Inc,34:38.0,34:40.1,2.0,5,False,True,1,6,1000.0,0.1,,1,2380.0,1000.0,1,20,20,20.0,0.0,0.0,0.0,0.0,1,1,2000.0,1595.936257,,3740.0,,42.67209242,,,,,,,21900.0,1900.0,20000.0,768.0,768.0,0.063,28.515625
8,8,23,5,1245,26,Eastern-Idaho Technical College,56.0,Schools (Technical/Vocational),Education,Public assembly,2238.0,Toy LLC,33:11.9,33:44.4,2.0,5,False,True,5,1400,3847.142857,0.05,,5,410900.0,23600.0,5,70564,70564,3844.0,0.0,0.0,0.0,0.0,30,30,33378.165,33378.165,,216562.1142,,15.41274434,,,,,,,1217075.76,549512.46,667563.3,,225.0,0.085,5409.2256
9,9,24,4,1229,7,Acme Bank Building,16.0,Entertainment,Public assembly,Food Sales,,Bartoletti and Sons,35:07.5,35:15.1,2.0,5,False,True,6,16,4280.0,0.12,,6,24612.0,10250.0,6,558,758,414.0,80.0,17282640.0,93.45794393,4038.0,52,49,13164.5952,13164.5952,,6528.9914,1.32,201.63290759999998,,,,,,,325408.4,215703.44,109704.96,150.0,150.0,0.1,2169.3893329999996
10,10,25,10,1230,27,Blue Max Trucking,1.0,Auto Related,Services,Food Sales,2254.0,"Goldner, Schaefer and Kshlerin",34:53.0,34:54.3,2.0,5,False,True,1,1,5100.0,0.10800000000000001,,1,458.0,10000.0,1,26,26,26.0,0.0,0.0,0.0,0.0,1,1,6558.9264,6558.9264,,13845.0,,47.37397183,,,,,,,60730.8,0.0,60730.8,,10000.0,0.961,6.07308
