,project_id,option_id,company_id,option_calculation_id,facility_type_lcm,LIGHTING_INTENSITY,ROI
2,11,92,15,1221,Food Service,0.0,0.0
5,16,7,7,1262,Food Sales,0.8636363640000001,52.99089727
6,22,3,25,1242,Services,109.5,42.67209242
7,22,3,25,1242,Services,28.515625,42.67209242
8,23,5,26,1245,Education,5409.2256,15.41274434
9,24,4,7,1229,Public assembly,2169.3893329999996,201.63290759999998
10,25,10,27,1230,Services,6.07308,47.37397183
11,29,11,33,1231,Other,0.14191199999999998,95.94679245
12,30,79,30,1232,Public assembly,4.88592,11.53127607
13,34,14,7,1241,Food Sales,592.0008,760.8685714
14,34,14,7,1241,Food Sales,118.40016000000001,760.8685714
15,37,17,18,1223,Retail - Mall & Non-Mall,6.421333333,185.59058819999998
30,44,19,7,1239,Retail - Mall & Non-Mall,0.0969,21.04228717
31,44,19,7,1239,Retail - Mall & Non-Mall,0.1938,21.04228717
32,44,19,7,1239,Retail - Mall & Non-Mall,0.24225,21.04228717
33,44,19,7,1239,Retail - Mall & Non-Mall,9.69,21.04228717
36,54,29,20,1367,Public assembly,1767.7053899999999,41.4766626
72,61,39,48,1248,Offices (Non-medical),2.0807628,165.7877561
76,68,30,50,1259,Education,0.7358399999999999,70.18427378
77,75,37,49,1268,Food Service,48.26822,136.1501809
78,76,40,7,1454,Offices (Non-medical),28.6,108.0508246
80,79,43,93,1257,Public assembly,130.86856,10.76697099
81,81,44,94,1267,Offices (Non-medical),1.26672,46.11273669
83,87,50,20,1316,Public assembly,249.821312,19.49683536
84,88,54,100,1280,Offices (Non-medical),4.1807968,0.66915353
85,89,61,100,1263,Offices (Non-medical),16.76415861,12.87963046
87,91,56,87,1269,Public assembly,0.6087301589999999,10.64998552
88,92,52,101,1276,Public assembly,3.905929412,232.81534280000002
90,94,55,123,1447,Religious worship,476.98148150000003,27.01471773
91,103,64,110,1371,Other,6.871869599999999,59.94483608
92,105,63,14,1299,Offices (Non-medical),4.628,1.193129619
93,109,65,28,321,Other,9.92079,24.34175254
99,112,70,20,637,Services,26.87887898,55.40456574
102,117,80,30,268,Services,125.5728,42.10941418
103,118,81,30,255,Services,1447.7096199999999,45.19972114
104,119,84,30,432,Services,428.0614,48.16363456
107,124,88,19,1287,Food Service,0.0038399999999999997,38.49191579
108,125,89,115,212,Health care - Outpatient,0.7302335999999999,55.06355465
110,131,90,122,1303,Lodging,5241.108,1045.5932050000001
111,135,94,88,175,Warehouse and storage,0.9077111999999999,17.216248
113,143,98,102,1534,Other,220.5375,641.1926632999999
114,144,99,115,162,Warehouse and storage,9.663846000000001,34.08826463
115,146,100,20,388,Services,389.4366667,30.66937339
117,148,102,28,1300,Health care - Inpatient,45.001945,inf
119,150,104,115,403,Retail - Mall & Non-Mall,39.06933333,11.2059356
121,152,106,87,350,Public assembly,62.98008889,7.903453047999999
122,156,108,20,585,Services,2.301740571,50.64726534
123,158,109,20,364,Offices (Non-medical),0.07450517799999999,23.54142297
124,159,119,128,699,Other,91.1004,444.58219519999994
125,160,110,20,392,Retail - Mall & Non-Mall,319.19073199999997,33.13273762
126,161,123,20,186,Food Sales,13.366807999999999,10.20289201
128,166,113,129,559,Retail - Mall & Non-Mall,12.64773963,7.347377031000001
