project_id,proposal_id,option_id,option_calculation_id,net_replacement_cost,total_savings_per_year,roi,created_at,existing_kwh,proposed_kwh,kwh_proposed_annual_savings,sum_sqft,count_areas_sqft_null,count_areas_sqft_not_null,lightning_intensity_kwh_over_sqft
105,67,63,1299,399375,4765,0.011931296,08-05-2018,462800,218400,244400,100000,0,1,4.628
1273,1479,1479,1826,3861,101,0.026181818,08-05-2018,6206,5195,1011,3375,0,1,1.83872
894,957,957,1700,59035,2551,0.043217583,08-05-2018,61210,35697,25514,25000,0,3,2.44842
4282,4022,4022,3987,8360,456,0.054489004,02-05-2019,10512,7008,3504,3600,0,1,2.92
91,59,56,1269,10359,1103,0.106499855,08-05-2018,14726,6240,8486,24192,0,1,0.608730159
622,1170,1170,1554,34875,3854,0.11052043,08-05-2018,86505,51465,35040,50000,0,1,1.7301
2842,3091,3091,3056,30645,3433,0.112027163,10-12-2018,120075,85744,34330,21325,0,3,5.630715123
1532,1741,1741,632,49364,5543,0.112288273,06-05-2018,32908,15330,17578,345000,0,1,0.095386667
2842,3092,3092,3057,5393,632,0.117267468,10-12-2018,120075,113751,6324,21325,0,3,5.630715123
4282,4038,4038,4003,6358,820,0.128953917,03-05-2019,10512,4205,6307,3600,0,1,2.92
2842,3093,3093,3058,61940,8539,0.137860265,10-12-2018,120075,34684,85390,21325,0,3,5.630715123
2842,3090,3090,3055,28874,4382,0.151771753,10-12-2018,120075,76252,43822,21325,0,3,5.630715123
1082,1284,1284,1752,34377,5495,0.159831104,08-05-2018,184582,44378,140204,115000,0,1,1.605060522
548,523,522,817,30358,5903,0.194439028,07-05-2018,89980,30952,59028,9000,0,1,9.997755556
44,19,19,1239,1798,378,0.210422872,08-05-2018,4845,1061,3784,95500,0,4,0.050732984
929,1018,1018,1711,16972,3724,0.219426137,08-05-2018,126100,79550,46550,14000,0,2,9.007142857
929,1016,1016,1710,16972,3724,0.219426137,08-05-2018,126100,79550,46550,14000,0,2,9.007142857
1111,1306,1306,1763,8804,1984,0.225309156,08-05-2018,23506,7826,15680,500,0,2,47.01127
860,880,880,1687,2372,584,0.246087426,08-05-2018,6989,1152,5837,35000,0,1,0.19968
296,253,251,1379,170190,42012,0.246851945,08-05-2018,709800,339000,370800,50000,0,2,14.196
296,252,251,1379,170190,42012,0.246851945,08-05-2018,709800,339000,370800,50000,0,2,14.196
769,2589,2589,2554,19754,4902,0.248161895,23-08-2018,62848,13826,49022,18000,0,1,3.491555556
1348,1566,1566,535,9903,2468,0.249226002,06-05-2018,67791,28613,39178,30000,0,1,2.259693333
1091,1279,1279,1748,3537,896,0.253460576,08-05-2018,13054,4090,8964,8400,0,1,1.554057143
751,738,738,1612,1699,432,0.254056497,08-05-2018,4555,2593,1962,800,0,1,5.694
1102,1292,1292,185,173,47,0.26874258,05-05-2018,1559,1130,429,100000,0,1,0.0155928
80,52,48,1272,26030,7069,0.271549174,08-05-2018,66188,20108,46080,9450,0,1,7.004031323
816,816,816,1583,10372,2910,0.280578172,08-05-2018,32097,10512,21585,10000,0,1,3.209664
1260,1464,1464,1811,202584,59690,0.294642835,08-05-2018,905623,308724,596899,200000,0,1,4.5281166
931,1019,1019,1712,8983,2652,0.295169236,08-05-2018,50060,16916,33145,7000,0,1,7.151485714
582,565,566,1501,8437,2510,0.297482398,08-05-2018,38763,13666,25097,220000,0,1,0.176195455
1740,1976,1976,946,676,203,0.300769231,07-05-2018,3528,1495,2033,2000,0,1,1.7641
2233,2622,2622,2587,6208,1950,0.31416191,30-08-2018,26961,8472,18489,15000,0,1,1.7974
1647,1891,1891,1984,2678,847,0.316381658,09-05-2018,11883,4110,7773,6000,0,1,1.98048
1360,1592,1592,557,38489,12197,0.316904959,06-05-2018,171750,67500,104250,96000,0,1,1.7890625
504,471,466,566,3579,1138,0.317913646,06-05-2018,22636,6380,16255,1200,0,2,18.86298333
925,1013,1013,1709,94641,31135,0.32897999,08-05-2018,519553,130364,389189,170000,0,1,3.056192941
